area_code,area_name,tier,case_rate,case_rate_over_60s,growth_rate,positivity_rate,estimated_admissions_rate,estimated_occupancy_rate,score
E07000219,Nuneaton and Bedworth,Tier 3,252.5,181.4,0.7,7.4,2,21,36.95970695970696
E07000220,Rugby,Tier 3,172.6,75.7,0.7,5.4,1.9,13.9,19.12087912087912
E07000221,Stratford-on-Avon,Tier 3,92.2,62.4,0.7,3.2,1.5,11,10.036630036630036
E07000222,Warwick,Tier 3,118.3,95.6,0.6,3.7,1.4,10.5,15.448717948717949
E07000223,Adur,Tier 2,52.9,26.4,0.5,1.9,0.8,6,2.4816849816849813
E07000224,Arun,Tier 2,56,31.6,0.5,1.7,1,6.4,3.278388278388277
E07000225,Chichester,Tier 2,76.8,69.6,0.6,2.6,1.1,7.6,8.873626373626372
E07000226,Crawley,Tier 2,73.8,42.8,0.6,2.8,0.6,10.9,6.419413919413917
E07000227,Horsham,Tier 2,70.9,69.2,0.6,2.9,0.7,8.5,8.36996336996337
E07000228,Mid Sussex,Tier 2,95.4,70.4,0.6,3.2,0.6,9.2,10.805860805860807
E07000229,Worthing,Tier 2,30.7,38.1,0.4,0.9,0.9,5.6,1.3919413919413919
E07000234,Bromsgrove,Tier 2,164.2,118.8,0.7,5.6,2.1,19.9,22.884615384615383
E07000235,Malvern Hills,Tier 2,75,39.5,0.7,2.5,1.8,16.6,6.84065934065934
E07000236,Redditch,Tier 2,190,140,0.7,6.9,1.7,16.7,26.978021978021978
E07000237,Worcester,Tier 2,104.7,56.9,0.5,3.7,1.7,16.5,11.227106227106228
E07000238,Wychavon,Tier 2,90.4,92,0.7,3.4,1.9,16.9,13.177655677655679
E07000239,Wyre Forest,Tier 2,180.7,104.9,0.7,5.8,1.9,18.6,23.003663003663004
E07000240,St Albans,Tier 2,109.1,91.5,0.8,4.1,1.9,19.3,15.137362637362637
E07000241,Welwyn Hatfield,Tier 2,104,59.9,0.8,4,1.2,8.9,10.75091575091575
E07000242,East Hertfordshire,Tier 2,113.5,70,0.6,4.8,0.6,14.4,13.049450549450551
E07000243,Stevenage,Tier 2,93.3,65.4,0.7,3,1.1,8.2,10.1007326007326
E07000244,East Suffolk,Tier 2,58.9,51.4,0.8,2.1,1.4,14.2,6.172161172161171
E07000245,West Suffolk,Tier 2,37.4,29.2,0.6,1.5,1.4,7.7,1.5018315018315014
E07000246,Somerset West and Taunton,Tier 2,55.4,33.6,0.5,1.4,0.3,2.4,2.948717948717948
E08000001,Bolton,Tier 3,259.4,184.4,0.7,10.1,4.9,40.4,40.15567765567765
E08000002,Bury,Tier 3,251.8,191.7,0.7,9.3,3.3,43.4,40.18315018315018
E08000003,Manchester,Tier 3,209.1,252.9,0.7,7.5,1.8,29.2,40.27472527472527
E08000004,Oldham,Tier 3,282.1,226.3,0.6,9.1,2.9,43.1,46.03479853479853
E08000005,Rochdale,Tier 3,294.9,358.6,0.7,9.8,3,44,59.48717948717949
E08000006,Salford,Tier 3,177.7,168.2,0.5,7.5,3.2,43.7,31.08058608058608
E08000007,Stockport,Tier 3,169.4,93.5,0.7,6.6,2.2,35.3,22.55494505494505
E08000008,Tameside,Tier 3,178.8,123.2,0.6,6.3,1.2,31.1,25.62271062271062
E08000009,Trafford,Tier 3,126.4,92.6,0.5,5.5,1.5,26.5,17.545787545787544
E08000010,Wigan,Tier 3,252.2,215.7,0.8,9.3,3.1,37,41.82234432234432
E08000011,Knowsley,Tier 2,129.3,111.6,0.6,2.4,2.1,29.9,19.642857142857142
E08000012,Liverpool,Tier 2,114.6,129.1,0.5,1,1.4,19.1,18.708791208791204
E08000013,St. Helens,Tier 2,135.7,87.4,0.5,4.2,1.9,24.8,17.683150183150182
E08000014,Sefton,Tier 2,119.4,104.7,0.6,2.3,3.1,52.9,20.293040293040292
E08000015,Wirral,Tier 2,73.8,62.3,0.5,2.4,2.5,21.1,9.267399267399266
E08000016,Barnsley,Tier 3,213.9,204.4,0.7,7.5,2.8,52.2,38.47069597069597
E08000017,Doncaster,Tier 3,213.9,211.8,0.7,8.6,3.4,37.5,37.95787545787546
E08000018,Rotherham,Tier 3,211,235.9,0.7,7.6,7.3,57.8,42.023809523809526
E08000019,Sheffield,Tier 3,190.8,155.3,0.7,7.2,1.5,36,30.228937728937726
E08000021,Newcastle upon Tyne,Tier 3,216.3,179.2,0.6,7.5,1.2,16.1,32.92124542124542
E08000022,North Tyneside,Tier 3,240,215,0.7,7.8,2.5,28.2,39.633699633699635
E08000023,South Tyneside,Tier 3,271.6,208.5,0.7,9.5,0.4,6.4,39.8992673992674
E08000024,Sunderland,Tier 3,209.9,154.6,0.6,7.6,0.5,7.7,29.25824175824176
E08000025,Birmingham,Tier 3,277.6,242.6,0.8,9.9,3.6,31,46.16300366300366
E08000026,Coventry,Tier 3,193.5,129.4,0.8,6.6,1.9,14,26.080586080586084
E08000027,Dudley,Tier 3,340.2,254,0.7,10.3,4.1,40.1,53.84615384615385
E08000028,Sandwell,Tier 3,318.8,271,0.7,10.3,5,44.9,53.96520146520146
E08000029,Solihull,Tier 3,196,133.3,0.7,6.6,3.5,31,28.36080586080586
E08000030,Walsall,Tier 3,281.3,185.5,0.8,9.2,5.4,50.5,43.15934065934066
