area_code,area_name,indicator,period,measure,unit,value
E02001259,Old Trafford,People on Universal Credit,2020-01,count,persons,1019
E02001260,Trafford Park West & Kingsway Park,People on Universal Credit,2020-01,count,persons,227
E02001261,Gorse Hill,People on Universal Credit,2020-01,count,persons,576
E02001262,Firswood,People on Universal Credit,2020-01,count,persons,466
E02001263,Davyhulme,People on Universal Credit,2020-01,count,persons,128
E02001264,Trafford Park East & Sevenways,People on Universal Credit,2020-01,count,persons,376
E02001265,Flixton & Moorside,People on Universal Credit,2020-01,count,persons,290
E02001266,Lostock & Stretford Meadows,People on Universal Credit,2020-01,count,persons,452
E02001267,Urmston East,People on Universal Credit,2020-01,count,persons,246
E02001268,Urmston West,People on Universal Credit,2020-01,count,persons,122
E02001269,Stretford East,People on Universal Credit,2020-01,count,persons,474
E02001270,Sale North,People on Universal Credit,2020-01,count,persons,233
E02001271,Ashton upon Mersey North,People on Universal Credit,2020-01,count,persons,322
E02001272,Sale East,People on Universal Credit,2020-01,count,persons,142
E02001273,Sale Central,People on Universal Credit,2020-01,count,persons,250
E02001274,Ashton upon Mersey South,People on Universal Credit,2020-01,count,persons,104
E02001275,Partington,People on Universal Credit,2020-01,count,persons,811
E02001276,Sale Moor,People on Universal Credit,2020-01,count,persons,409
E02001277,Broadheath & Firsway,People on Universal Credit,2020-01,count,persons,719
E02001278,West Timperley,People on Universal Credit,2020-01,count,persons,151
E02001279,Timperley North,People on Universal Credit,2020-01,count,persons,102
E02001280,Timperley East,People on Universal Credit,2020-01,count,persons,448
E02001281,Timperley South,People on Universal Credit,2020-01,count,persons,87
E02001282,Altrincham East,People on Universal Credit,2020-01,count,persons,220
E02001283,"Altrincham West, Dunham & Warburton",People on Universal Credit,2020-01,count,persons,188
E02001284,Hale,People on Universal Credit,2020-01,count,persons,81
E02001285,Bowdon,People on Universal Credit,2020-01,count,persons,155
E02001286,Hale Barns,People on Universal Credit,2020-01,count,persons,118
E02001259,Old Trafford,People on Universal Credit,2020-02,count,persons,1058
E02001260,Trafford Park West & Kingsway Park,People on Universal Credit,2020-02,count,persons,233
E02001261,Gorse Hill,People on Universal Credit,2020-02,count,persons,608
E02001262,Firswood,People on Universal Credit,2020-02,count,persons,473
E02001263,Davyhulme,People on Universal Credit,2020-02,count,persons,127
E02001264,Trafford Park East & Sevenways,People on Universal Credit,2020-02,count,persons,386
E02001265,Flixton & Moorside,People on Universal Credit,2020-02,count,persons,316
E02001266,Lostock & Stretford Meadows,People on Universal Credit,2020-02,count,persons,469
E02001267,Urmston East,People on Universal Credit,2020-02,count,persons,254
E02001268,Urmston West,People on Universal Credit,2020-02,count,persons,137
E02001269,Stretford East,People on Universal Credit,2020-02,count,persons,500
E02001270,Sale North,People on Universal Credit,2020-02,count,persons,238
E02001271,Ashton upon Mersey North,People on Universal Credit,2020-02,count,persons,345
E02001272,Sale East,People on Universal Credit,2020-02,count,persons,151
E02001273,Sale Central,People on Universal Credit,2020-02,count,persons,248
E02001274,Ashton upon Mersey South,People on Universal Credit,2020-02,count,persons,112
E02001275,Partington,People on Universal Credit,2020-02,count,persons,850
E02001276,Sale Moor,People on Universal Credit,2020-02,count,persons,420
E02001277,Broadheath & Firsway,People on Universal Credit,2020-02,count,persons,721
E02001278,West Timperley,People on Universal Credit,2020-02,count,persons,162
E02001279,Timperley North,People on Universal Credit,2020-02,count,persons,105
E02001280,Timperley East,People on Universal Credit,2020-02,count,persons,471
E02001281,Timperley South,People on Universal Credit,2020-02,count,persons,95
E02001282,Altrincham East,People on Universal Credit,2020-02,count,persons,229
E02001283,"Altrincham West, Dunham & Warburton",People on Universal Credit,2020-02,count,persons,192
E02001284,Hale,People on Universal Credit,2020-02,count,persons,86
E02001285,Bowdon,People on Universal Credit,2020-02,count,persons,152
E02001286,Hale Barns,People on Universal Credit,2020-02,count,persons,125
E02001259,Old Trafford,People on Universal Credit,2020-03,count,persons,1094
E02001260,Trafford Park West & Kingsway Park,People on Universal Credit,2020-03,count,persons,250
E02001261,Gorse Hill,People on Universal Credit,2020-03,count,persons,631
E02001262,Firswood,People on Universal Credit,2020-03,count,persons,470
E02001263,Davyhulme,People on Universal Credit,2020-03,count,persons,126
E02001264,Trafford Park East & Sevenways,People on Universal Credit,2020-03,count,persons,403
E02001265,Flixton & Moorside,People on Universal Credit,2020-03,count,persons,315
E02001266,Lostock & Stretford Meadows,People on Universal Credit,2020-03,count,persons,479
E02001267,Urmston East,People on Universal Credit,2020-03,count,persons,249
E02001268,Urmston West,People on Universal Credit,2020-03,count,persons,143
