area_name,area_code,date,place,percent
Greater Manchester,E47000001,2020-04-08,Residential,0.27
Greater Manchester,E47000001,2020-04-09,Retail & recreation,-0.69
Greater Manchester,E47000001,2020-04-09,Grocery & pharmacy,-0.21
Greater Manchester,E47000001,2020-04-09,Parks,-0.19
Greater Manchester,E47000001,2020-04-09,Transit stations,-0.74
Greater Manchester,E47000001,2020-04-09,Workplaces,-0.69
Greater Manchester,E47000001,2020-04-09,Residential,0.27
Greater Manchester,E47000001,2020-04-10,Retail & recreation,-0.77
Greater Manchester,E47000001,2020-04-10,Grocery & pharmacy,-0.36
Greater Manchester,E47000001,2020-04-10,Parks,-0.15
Greater Manchester,E47000001,2020-04-10,Transit stations,-0.8
Greater Manchester,E47000001,2020-04-10,Workplaces,-0.81
Greater Manchester,E47000001,2020-04-10,Residential,0.32
Greater Manchester,E47000001,2020-04-11,Retail & recreation,-0.79
Greater Manchester,E47000001,2020-04-11,Grocery & pharmacy,-0.31
Greater Manchester,E47000001,2020-04-11,Parks,-0.32
Greater Manchester,E47000001,2020-04-11,Transit stations,-0.75
Greater Manchester,E47000001,2020-04-11,Workplaces,-0.56
Greater Manchester,E47000001,2020-04-11,Residential,0.19
Greater Manchester,E47000001,2020-04-12,Retail & recreation,-0.9
Greater Manchester,E47000001,2020-04-12,Grocery & pharmacy,-0.67
Greater Manchester,E47000001,2020-04-12,Parks,-0.28
Greater Manchester,E47000001,2020-04-12,Transit stations,-0.78
Greater Manchester,E47000001,2020-04-12,Workplaces,-0.58
Greater Manchester,E47000001,2020-04-12,Residential,0.16
Greater Manchester,E47000001,2020-04-13,Retail & recreation,-0.76
Greater Manchester,E47000001,2020-04-13,Grocery & pharmacy,-0.39
Greater Manchester,E47000001,2020-04-13,Parks,-0.06
Greater Manchester,E47000001,2020-04-13,Transit stations,-0.82
Greater Manchester,E47000001,2020-04-13,Workplaces,-0.83
Greater Manchester,E47000001,2020-04-13,Residential,0.31
Greater Manchester,E47000001,2020-04-14,Retail & recreation,-0.68
Greater Manchester,E47000001,2020-04-14,Grocery & pharmacy,-0.25
Greater Manchester,E47000001,2020-04-14,Parks,-0.02
Greater Manchester,E47000001,2020-04-14,Transit stations,-0.73
Greater Manchester,E47000001,2020-04-14,Workplaces,-0.68
Greater Manchester,E47000001,2020-04-14,Residential,0.26
Greater Manchester,E47000001,2020-04-15,Retail & recreation,-0.71
Greater Manchester,E47000001,2020-04-15,Grocery & pharmacy,-0.28
Greater Manchester,E47000001,2020-04-15,Parks,-0.06
Greater Manchester,E47000001,2020-04-15,Transit stations,-0.73
Greater Manchester,E47000001,2020-04-15,Workplaces,-0.68
Greater Manchester,E47000001,2020-04-15,Residential,0.27
Greater Manchester,E47000001,2020-04-16,Retail & recreation,-0.7
Greater Manchester,E47000001,2020-04-16,Grocery & pharmacy,-0.27
Greater Manchester,E47000001,2020-04-16,Parks,0
Greater Manchester,E47000001,2020-04-16,Transit stations,-0.74
Greater Manchester,E47000001,2020-04-16,Workplaces,-0.68
Greater Manchester,E47000001,2020-04-16,Residential,0.27
Greater Manchester,E47000001,2020-04-17,Retail & recreation,-0.72
Greater Manchester,E47000001,2020-04-17,Grocery & pharmacy,-0.29
Greater Manchester,E47000001,2020-04-17,Parks,-0.11
Greater Manchester,E47000001,2020-04-17,Transit stations,-0.75
Greater Manchester,E47000001,2020-04-17,Workplaces,-0.67
Greater Manchester,E47000001,2020-04-17,Residential,0.28
